timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-06-05T15:35:17,bluerevCope,e29b9d2b-a1d9-4e61-8e08-3aa57c6e849b,4.407524347305298,2.056461975455797e-06,4.665798333509129e-07,14.0,0.0,5.882906913757324,1.7110332647959393e-05,0,7.117827149585309e-06,2.4228159797544702e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:21,bluerevCope,6e6fdf2b-8b39-4807-b336-ea99db7b3d73,2.527310848236084,1.1820433929803978e-06,4.67707956781571e-07,14.0,0.0,5.882906913757324,9.824545250998604e-06,0,4.101671987427836e-06,1.392621723842644e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:21,bluerevCope,6e6fdf2b-8b39-4807-b336-ea99db7b3d73,3.1433513164520264,1.4672969002321538e-06,4.6679379824725604e-07,14.0,0.0,5.882906913757324,1.2217190133200752e-05,0,5.06973478618041e-06,1.7286924919381163e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:22,bluerevCope,6e6fdf2b-8b39-4807-b336-ea99db7b3d73,3.712916374206543,1.7319852711600523e-06,4.66475701740032e-07,14.0,0.0,5.882906913757324,1.4426622655656604e-05,0,5.978722260754429e-06,2.040534491641104e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:37,bluerevCope,f646e4c1-e063-4c6a-9a12-9589c4576e33,2.1586461067199707,1.0087346370012089e-06,4.672996809717761e-07,14.0,0.0,5.882906913757324,8.390850888358222e-06,0,3.4935331995929645e-06,1.1884384087951189e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:37,bluerevCope,f646e4c1-e063-4c6a-9a12-9589c4576e33,2.830737352371216,1.3211345584219077e-06,4.667103987288812e-07,14.0,0.0,5.882906913757324,1.100029812918769e-05,0,4.5646184982691314e-06,1.556491662745682e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:35:38,bluerevCope,f646e4c1-e063-4c6a-9a12-9589c4576e33,3.3543763160705566,1.5638102097541728e-06,4.661999914148211e-07,14.0,0.0,5.882906913757324,1.30309353934394e-05,0,5.393058877866489e-06,1.842399427130589e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:36:25,bluerevCope,f04fc1e1-04c5-495f-bf46-98c784365dff,4.220247030258179,1.975289096455126e-06,4.6805058620805074e-07,14.0,0.0,5.882906913757324,1.641012748082479e-05,0,6.861695896631659e-06,2.3271823377456448e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:36:25,bluerevCope,f04fc1e1-04c5-495f-bf46-98c784365dff,4.870053768157959,2.276675276231756e-06,4.674846284280105e-07,14.0,0.0,5.882906913757324,1.8927161428663467e-05,0,7.895436342655179e-06,2.6822597771318645e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
2024-06-05T15:36:34,bluerevCope,aab880e2-a5d6-455e-ad46-f96277057d0a,3.049398183822632,1.426284222847266e-06,4.677264617044272e-07,14.0,0.0,5.882906913757324,1.185636838277181e-05,0,4.947366614662959e-06,1.680373499743477e-05,France,FRA,île-de-france,,,Windows-10-10.0.19045-SP0,3.10.11,2.4.2,8,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,,,2.6834,48.8792,15.687751770019531,machine,N,1.0
